휴양지	休养胜地
궁금하신 점은 https://joycityone.zendesk.com/hc/ko 로 문의해주세요.	如果对游戏有疑问，请在https://joycityone.zendesk.com/hc/zh-cn中给我们留言。
게임 내에서 사용되는 권한	游戏内所使用的权限
1. 전화 걸기 및 관리	1. 拨打电话和管理通话(READ_PHONE_STATE)
(게임 실행 시) 게스트 로그인(바로 시작) 시 단말기를 식별하   기 위해 이 권한이 필요합니다. [전화 걸기 및 관리] 권한에    단말기를 식별할 수 있는 정보가 포함되어 있으며 이 권한    요청을 거부할 경우 게임 로그인이 불가합니다.	(启动游戏时)为了进行游客登录（快速开始），须允许应用程序访问设备的功能。[拨打电话及管理通话]权限中包括可访问该设备的信息。如果拒绝该访问权限，则无法登录游戏。
2. 사진, 미디어, 파일 엑세스	2. 访问设备内照片、媒体及文件(READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE)
(게임 업데이트 시) 업데이트 파일을 디바이스 SD카드에 저장   하기 위해 이 권한이 필요합니다. - [사진, 미디어, 파일 엑세스] 권한에는 SD카드 권한이 포함되어    있으며 이 권한 요청을 거부할 경우 게임 로그인이 불가합니다.	(更新游戏时)为了把更新文件储存到设备的SD卡内，请求此权限。[访问照片、媒体及文件]权限中包括SD卡访问权限。如果拒绝该访问权限，则无法登录游戏。
* 접근 권한동의 후, 다음과 같이 접근 권한을 설정하거나 철회 할 수 있습니다.	* 上述说明会根据机型、使用的系统版本的不同而有所差异。
영광의 메달, 금화, 은화를 획득할 수 있는 거래 증서	可获得荣耀的奖牌、金币、银币的交易证书
영광의 메달, 금화, 은화를 획득할 수 있는 상자	可获得荣耀的奖牌、金币、银币的箱子
패자의 전장 거래 증서	霸主战场交易证书
패자의 전장 명예 상자	霸主战场名誉箱
헨리모건	亨利摩根
대해적	大海盗
전쟁 보호 상태	免战状态
기간과제	期间任务
선수상 상자	船首像箱子
업데이트 기념	更新纪念
기간제 스킨	限期皮肤
여신의 유물	女神的遗物
금화 상품	金币商品
장비 재료	装备材料
풀에디션	完整版
최초 출시	首次推出
초고퀄	超高档
고대신의 럭키 큐브	古代神的幸运魔方
엄청난 금화 상자	惊喜金币宝箱
자세히보기	查看详情
선수상 조각	船首像碎片
고대 유물	古代遗物
?	?
…	…
d	天
개	个
검	剑
끌	凿刀
대	艘
말	马
명	名
분	分
상	上
숯	木炭
양	羊
예	是
일	日
전	历史
차	茶
창	矛
초	秒
총	枪
킬	灭敌
황	硫磺
0:00	23:00
한	韩
참고	参考
휴면	睡眠
희귀	稀有
상자	箱子
기간	时间
조각	碎片
신규	全新
프리미엄	高级
증서	证书
상대	对方
중급	中级
초급	初级
가격	价格
가람	伽蓝
가속	加速
가토	加藤
강습	突袭
강탈	抢夺
연맹강퇴	强踢
강화	强化
개방	开放
개인	个人
교역	交易
거리	距离
거상	巨商
거절	拒绝
건설	建设
건조	建造
검병	剑兵
수색	搜索
격침	击沉
견갑	肩甲
결정	决定
경고	警告
경제	经济
계급	阶级
계피	桂皮
고무	橡胶
고아	果阿
고용	雇佣
골드	黄金
공격	攻击
공유하기	共享
공작	公爵
교본	教材
변경	更换
구리	铜
구입하기	购买
피스톨	手枪
회항	返航
그림	画
금화	金币
베어울프 사냥꾼의 갑옷 (7일)	贝奥武夫狩猎盔甲(7天)
그 외	其它
낙타	骆驼
남작	男爵
구성	内容
넬슨	尼尔森
녹화	录制
농장	农场
늑대	狼
다음	前进
단계	阶段
단련	锻炼
닫기	关闭
담배	香烟
대거	短剑
대공	大公
대도	大盗
대령	上校
대만	台湾
대위	上尉
대장	大将
대패	刨子
대포	大炮
도배	刷屏
도시	城市
도전	挑战
독일	德国
돌고래배	海豚船
동굴	洞窟
들것	担架
등대	灯塔
등록	登记
등수	排名
런던	伦敦
Lv.	等级
리마	利马
마틴	马丁
만선	满船
맹주	盟主
명성	声望
이름	名称
모자	头盔
모험	冒险
목재	木材
묘목	树苗
무기	武器
무료	免费
무명	棉线
무적	无敌
물자	物资
미국	美国
박하	薄荷
반복	重复
수령	领取
발사	发射
방금	刚刚
방어	防御
방지	防止
방콕	曼谷
배치	布置
백작	伯爵
버프	效果
번역	翻译
벨벳	天鹅绒
병사	士兵
병영	兵营
병원	医院
병종	兵种
보관하기	保管
보기	查看
보물	宝物
보상 안내	奖励
보호	保护
복구	复原
복귀	回归
복사	复制
부두	码头
부산	釜山
전 세계 플레이어들과 전투를 하고, 무역을 하며	与全球玩家一起征战海洋，进行贸易！
부피	体积
부화	孵化
분배	分配
불칸	伏尔铿
비교	比较
비단	丝绸
비취	翡翠
사냥	狩猎
사망	死亡
사용	使用
사향	麝香
삭제	删除
산탄	散弹
산호	珊瑚
삼베	麻布
상세	详细
상승	上升
상아	象牙
상점	商店
상태	状态
생강	生姜
생산	生产
생존	生存
선물	礼物
설날	春节
설명	说明
설탕	糖
성공	成功
성문	城门
성배	圣杯
성수	圣水
성체	城堡
세율	税率
소금	盐
소령	少校
소위	少尉
소장	少将
수락	接受
수리	修理
수정	修改
수확	收获
숫돌	磨刀石
습득	学习
승리	胜利
시간	点
시장	市场
시즌	时令
식량	粮食
부츠	战靴
신수	神兽
실버	白银
패배	失败
심볼	标志
아군	我军
아덴	亚丁
아라	阿拉
안내	引导
알림	提示
양모	羊毛
없음	暂无
에도	江户
오류	错误
에밀	埃米尔
에바	伊娃
연결	绑定
연구하기	研究
연맹	联盟
연속	连续
열기	开启
염료	染料
염소	山羊
영국	英国
영상	视频
영어	英语
영웅	英雄
영주	领主
영지	领地
예멘	也门
옵션	属性
와룡	卧龙
와인	红酒
COMPLETE	完成
욕설	脏话
우롱	捉弄
우유	牛奶
운용	运用
유리	琉璃
융단	毛毯
은광	银矿
은화	银币
의복	盔甲
의술	医术
이동	前往
이란	伊朗
이 윤	利润
인구	人口
인도	印度
인삼	人参
인증	验证
NORMAL	普通
일본	日本
임시	临时
입장	进入
자원	资源
자작	子爵
자철	磁铁
작성	输入
작업	工程
아대	护手
장미	玫瑰
착 용	装备
장인	匠人
장착	佩戴
장총	长枪
재고	库存
재료	材料
저장	保存
저주	诅咒
적군	敌军
적용	应用
전멸	全军覆没
전쟁	战争
전체	全部
전투	战斗
전향	归顺
점령	占领
점사	点射
정보	信息
정지	暂停
정찰	侦查
정향	丁香
제국	帝国
제조	制作
제프	杰夫
조건	条件
조로	佐罗
조합	组合
종료	退出
좌표	坐标
준장	准将
중국	中国
중령	中校
중위	中尉
중장	中将
지능	智能
지벡	阿拉伯三角帆船
지연	延迟
지원	支援
지휘	指挥
진급	进阶
진주	珍珠
진화	进化
질병	疾病
질풍	疾风狂影
집결	集结
창대	枪杆
창병	矛兵
창설	创建
채 집	采集
채팅	聊天
철거	撤消
철광	铁矿
철침	铁砧
청자	青瓷
체력	体力
체코	捷克共和国
초대	邀请
초석	硝酸钠
총독	总督
총병	枪兵
추석	中秋节
추천	推荐
축복	祝福
출석	签到
출항	出航
취소	取消
치료	治疗
치즈	奶酪
칠레	智利
침몰	沉船
칭호	称号
카옌	卡宴
캐넌	加农炮
캐럭	卡瑞克
커피	咖啡
쿠바	古巴
쿠잔	库赞
태국	泰国
태양	太阳
터키	土耳其
톱니	锯齿
통계	统计
통치	统治
퇴각	撤退
퇴로	退路
튤립	郁金香
파괴	毁灭
파기	废弃
판매	出售
패턴	图案
펜서	击剑手
편성	整编
평화	和平
포기	放弃
포로	俘虏
포획	捕捉
폭죽	爆竹
폴암	长柄武器
풍년	丰收之年
피망	青椒
피신	隐藏
하락	下降
하역	装卸
한양	汉阳
할인	减价
함대	船队
함선	舰船
함종	舰船种类
항목	项目
항주	杭州
해고	解雇
해도	航海图
해산	解散
해적	海盗
해제	解除
행운	幸运
향수	香水
허브	香草
현재	当前
혜택	福利
호두	核桃
호박	琥珀
호주	澳大利亚
홍콩	香港
화력	火力
확인	确定
회수하기	回收
회신	回复
회피	闪避
획득	获得
후작	侯爵
후추	胡椒
훈련	训练
1H	1小时
1M	1分
1만	1万
1일	1天
2일	2天
2H	2小时
2만	2万
3일	3天
3만	3万
4H	4小时
4일	4天
5M	5分
5만	5万
5일	5天
6H	6小时
6만	6万
6일	6天
7일	7天
8H	8小时
km	公里
R1	R1
R2	R2
R3	R3
R4	R4
R5	R5
푸시	通知
한국어	韩语
구글	谷歌
결제	充值
고블린	哥布林
패널티	惩罚
수용량	收容量
영주님	领主大人
페이백	消费返还
공격형	攻击型
스페셜	特殊
보호량	保护量
생산량	生产量
领主对战	领主对战
…….	……
10M	10分
10S	10秒
10만	10万
12H	12小时
12만	12万
15D	15天
15K	15千
15M	15分
20만	20万
24H	24小时
30D	30天
30M	30分
30만	30万
50만	50万
60K	60千
60만	60万
东印司	东印司
경험치	经验值
HOT	热门
MAX	满级
NEW	新
Now	现在
Ver	版本
VIP	贵宾
X :	X:
Y :	Y:
갈고리	钩子
갑판병	甲板兵
갤리온	盖伦船
새로고침	刷新
교역량	交易量
거북선	龟船
건물주	房地产土豪
건설중	建设中
게시자	公告人
계엄령	戒严令
곡괭이	镐头
공격력	攻击力
공격자	攻击人
공격중	攻击中
관리일	管理日期
광산차	矿车
교역품	交易品
구성원	成员
구입가	购买价格
군수품	军需品
규격화	规格化
그리스	希腊
글렌더	小盾龙
금광섬	金矿岛
급식소	食堂
기간제	限期
기름칠	刷漆
기여도	贡献度
나가기	离开
나그네	游客
나무못	木钉
나폴리	那不勒斯
난파선	遇难船只
내구도	耐久度
노동력	劳动力
농장섬	农场岛
능력치	能力值
다이아	宝石
단수이	淡水
달성률	达成率
대구경	大口径
대기자	等待者
대리석	大理石
繁体中文	繁体中文
대사관	大使馆
대용골	大龙骨
대장간	铁匠铺
대포수	大炮数量
더 보기	查看更多
덴마크	丹麦
도움말	帮助
도자기	瓷器
독수리	雄鹰
독일어	德语
돌격!	冲啊!
동원령	动员令
드라군	龙骑士
떠돌이	无业游民
라오스	老挝
라이플	来福枪
러시아	俄罗斯
로그인	登录
롱소드	长剑
루안다	罗安达
리스본	里斯本
마닐라	马尼拉
마르샬	马歇尔
마르코	马可
MASTER	大师
마카오	澳门
만석꾼	地主
만우절	愚人节
말라카	马六甲
망원경	望远镜
망치질	锤打
머스킷	滑膛枪
메시지	消息
멕시코	墨西哥
모로코	摩洛哥
목재섬	木材岛
목재소	伐木场
몬도르	蒙多
몬스터	怪物
몸바사	蒙巴萨
무기한	无限期
무법자	不法分子
무효화	无效化
미수확	未收获
미얀마	缅甸
미인증	未认证
미접속	离线
바구니	篮子
바다용	海龙
바레인	巴林
바이아	巴伊亚
발사!	发射!
방랑자	流浪汉
방아쇠	扳机
방어력	防御力
배경음	背景音乐
배당액	分配额
백병전	白刃战
베테랑 제국군	皇室守备军
베트남	越南
벨기에	比利时
보고서	报告书
보관량	保管量
보내기	发送
보부상	货郎
부상당한 병사	伤兵
부서짐	破损
부활절	复活节
분해	分解
브라질	巴西
브론즈	青铜
사열대	检阅台
사운드	声音
살라딘	萨拉丁
상아탑	象牙塔
새소식	新消息
선봉장	先锋
선수상	船首像
선술집	酒馆
선인장	仙人掌
선제후	选帝侯
선회력	回转力
설계도	设计图
세계수	世界树
세이커	猎隼炮
셀레나	塞莱娜
수비자	防守方
수송선	运输舰
수에즈	苏伊士
수호신	守护神
스웨덴	瑞典
스위스	瑞士人
스페인	西班牙
스피어	长矛
시드니	悉尼
시리아	叙利亚
아니요	否
아이템	道具
아테나	雅典娜
아테네	雅典
알제리	阿尔及利亚
알폰소	阿方索
앙골라	安哥拉
앤드루	安德鲁
약탈자	夺取者
여신상	女神像
연맹 구성원	联盟成员
오리배	鸭子船
오슬로	奥斯陆
올리브	橄榄树
완료!	已完成!
완충재	缓冲材料
E-mail	邮箱
원정대	远征队
윤활유	润滑油
은광섬	银矿岛
이라크	伊拉克
이메일	邮件
에스컬레이션	活动
이사벨	伊莎贝
이집트	埃及
인어상	人鱼像
인판테	王子
日本语	日本语
日本語	日本語
임시1	临时1
임시2	临时2
임시3	临时3
임시4	临时4
임시5	临时5
자원지	资源地
장갑함	装甲舰
장신구	饰品
장착 중	佩戴中
재배치	重新布置
재시도	重试
재연결	重新连接
저장량	储存量
저축왕	储蓄王
적재량	装载量
전략서	战略书
전리품	战利品
전술가	战术家
전열함	战列舰
전투력	战斗力
점검중	维护中
접속중	在线
정박중	停泊中
정찰중	侦查中
제국군	帝国军
제노바	热那亚
젤리코	杰利科
조각상	雕像
조선소	造船厂
조선술	造船术
조합법	合成方法
주둔중	驻扎中
주재원	住派人员
준남작	从男爵
준비 중	准备中
중국어	中文
증측중	增建中
지략가	智慧家
지원중	援助中
진행 중	进行中
집결중	集结中
착용중	已穿戴
참나무	青松
버서커	狂战士
철광석	铁
철광섬	铁矿岛
체코어	捷克语
초기화	初始化
초콜릿	巧克力
총병력	总兵力
추출기	萃取机
치명상	致命伤
칠면조	火鸡
카카두	卡卡杜
카카오	可可
카타르	卡塔尔
칼바람	寒风
캐나다	加拿大
캐서린	凯瑟琳
컨텐츠	功能
컬버린	长管炮
퀘스트	任务
크라켄	克拉肯
크루즈	远洋邮轮
태국어	泰国语
터키어	土耳其语
통나무	原木
튀니지	突尼斯
파나마	巴拿马
파울로	保罗
판매가	出售价格
판매중	出售中
세트	礼包
팩상포	匹希斯炮
페드로	彼得
포격전	炮战
포격함	炮击舰
폴란드	波兰
프랑스	法国
프리깃	护卫舰
플류트	福禄特帆船
핀란드	芬兰
핀자라	平贾拉
필리핀	菲律宾
하역장	港口
하워드	霍华德
학살자	屠杀者
항해술	航海术
항해중	航海中
해 제	卸下
해적선	海盗船
행동력	行动力
헝가리	匈牙利
헬버드	长戟
협상가	谈判专家
호바트	霍巴特
화약통	火药桶
활성화	激活
회피력	闪避力
물품 획득	获得物品
효과음	音效
히드라	海德拉
좋아요	赞
고품격	精品
30000원	￥176.32
50000원	￥293.86
12:00	11:00
FAQ	常见问题解答
건틀릿	金属护手
접속 시	登录送
보물상자	宝箱
항해 속도	航速
점검 전	维护前
{0}%	{0}%
{0}대	{0}艘
{0}명	{0}名
{0}분	{0}分钟
{0}th	第{0}名
{0}회	{0}次
<누적>	<累计>
1.2만	1.2万
1.5만	1.5万
1.7만	1.7万
120만	120万
195K	195千
2.5만	2.5万
360K	360千
975K	975千
Days	天数
EASY	简单
HARD	困难
NEW!	新!
X{0}	X{0}
가속시간	加速时间
가입거절	拒绝加入
가입승인	注册验证
가입신청	申请加入
가져오기	获取
중국어 간체	简体中文
강습저지	阻止突袭
강습후퇴	撤退突袭
강화 속도	强化速度
강화 자원	强化资源
갱신 시간	刷新时间
거래 증서	交易证书
건설 속도	建设速度
건조 속도	建造速度
건조 자원	建造资源
게임하기	进行游戏
경고 종	警钟
계정관리	账号管理
고객센터	客服中心
고급 끌	高级凿刀
공격 속도	攻击速度
공식 커뮤니티	官方论坛
과테말라	危地马拉
괴물 게	蟹怪
괴물아귀	饿鬼怪
교역창고	交易仓库
구입도시	购买城市
구입시간	购买时间
궁정백작	宫廷伯爵
그리스어	希腊语
글로리아	格洛里娅
기간한정	限定期限
나가사키	长崎
낚싯바늘	鱼钩
내 정보	我的信息
내보내기	移出
내부서버	内部服务器
네덜란드	荷兰
노르웨이	挪威
뉴질랜드	新西兰
능력확인	确认能力
니콜라이	尼古拉
다리우스	大流士
대기시간	冷却时间
대장장이	铁匠
대전하기	对战
대포 수	大炮数
대포공장	炮厂
대포 제조하기	制造大炮
대폭할인	大幅优惠
대한민국	韩国
데미캐넌	半加农炮
덴마크어	丹麦语
도시이름	城市名称
도시정보	城市信息
도시포기	放弃城市
도전과제	挑战任务
돈 후앙	唐胡安
돌아가기	返回
드라큘라	德古拉
드레이크	德雷克
등급강등	降阶
등급상승	升阶
등록하기	上架
디바이더	海军服
디자이너	设计师
디하메스	暴龙
라트비아	拉脱维亚
랭킹보기	查看排名
러시아어	俄语
LEVEL UP	升级
레이피어	刺剑
로그아웃	登出
루마니아	罗马尼亚
리플레이	回放
마르세유	马赛
멋진데?	帅气啊?
메리골드	玛丽格尔德
모가디슈	摩加迪沙
모르타르	迫击炮
모잠비크	莫桑比克
모험 중	冒险中
무기 제조하기	制造武器
무스카트	马斯喀特
물물교환	物物交换
미 장착	未穿戴
미리보기	预览
바다거인	海洋巨人
바로시작	快速开始
바제시아	巴杰西亚
발렌시아	瓦伦西亚
방 개설	创建房间
방 이름	房间名称
방 정보	房间信息
繁體中文	繁體中文
베네치아	威尼斯
베트남어	越南语
베히모스	巨兽
벨라루스	白俄罗斯
변경백작	边疆伯爵
병사지원	援助士兵
병사포기	放弃士兵
병사해고	解雇士兵
병사를 훈련하세요.	训练士兵
보물도감	宝物图鉴
보물창고	宝物仓库
보상 리스트	奖励列表
보상 수령	领取奖励
봄 베슬	岸轰艇
봉인상태	封印状态
부대속성	部队属性
부대현황	部队现状
불가리아	保加利亚
불러오기	导入
브루나이	文莱
비밀단체	秘密团体
비밀번호	密码
비활성화	尚未激活
빈 바다	空海
사략함대	私掠船队
사마라이	萨马赖
사탕수수	甘蔗
사파이어	蓝宝石
산티아고	圣地亚哥
상점 가기	前往商店
색약모드	色弱模式
샤르로트	夏洛特
석유부자	石油富豪
성문 수리하기	修理城门
세르비아	塞尔维亚
세바스찬	塞巴斯蒂安
손실자원	损失资源
손실장비	损失装备
손질기름	修理油
수리 중	训练中
수리 자원	修理资源
숫자 0	数字0
숫자 1	数字1
숫자 2	数字2
숫자 7	数字7
숫자 8	数字8
스웨덴어	瑞典语
스톡홀롬	斯德哥尔摩
스틸캐넌	铁甲加农炮
스페인어	西班牙语
스피어맨	长矛兵
승인가입	同意申请
시라쿠사	锡拉库萨
신비상자	神秘箱
싱가포르	新加坡
아르키온	战龙
아미도프	阿美德福
아일랜드	爱尔兰
알바니아	阿尔巴尼亚
언어관리	语言管理
에메랄드	绿宝石
에스파다	女剑士
에콰도르	厄瓜多尔
연맹가입	加入联盟
연맹관리	联盟管理
연맹지원	援助联盟
연맹 탈퇴	退出联盟
영주 킬	挑战领主
영주 변경	更换领主
영주님!	领主大人!
영주찾기	查找领主
영지버프	领地加成
영지 이동	迁城
영지입장	进入领地
영지정보	领地信息
옵션개수	属性数量
왕거누이	旺阿努伊
왕립학회	皇家学院
외부서버	外部服务器
우편발송	发送邮件
운영제재	营运制裁
위탁판매	寄售
유니콘상	独角兽像
유랑함대	流浪船队
은화 5	5银币
은화 틀	银质模具
의료도구	医疗工具
이동속도	移动速度
이동하기	移动
이름 변경	更改名称
이스라엘	以色列
이스탄불	伊斯坦布尔
이용약관	使用条款
이탈리아	意大利
인벤토리	背包
인증여부	是否验证
일일과제	每日任务
자동판매	自动出售
자메이카	牙买加
자원창고	资源仓库
자유가입	自由加入
자카르타	雅加达
작업현황	工作现状
잔다르크	贞德
장비 분해	分解装备
장비 제작 타임!	制作装备
장인정신	匠人精神
전체공지	全部公告
전체선택	全部选择
전체언어	所有语言
전황정보	战况信息
점검 중	正在维护中
접속오류	公告
정보교환	交换信息
제국 킬	挑战帝国军
제국#E	帝国#E
제국백작	帝国伯爵
제식 검	制式剑
제식 창	制式矛
제식 총	制式枪
주식부자	股票富翁
즉시완료	立即完成
즐겨찾기 추가	收藏
지원목록	援助目录
지원병력	援助兵力
집결 공격	集结攻击
집결방어	集结防御
집결참여	加入集结
채집속도	采集速度
채팅 제재	聊天制裁
천둥소리	雷声
첨부하기	附件
청동제기	青铜祭器
초상변경	更换角色外形
총채집량	总采集量
최초 킬	首胜
추가임무	追加任务
추풍낙엽	秋风落叶
축성기술	筑城技术
측천무후	武则天
치료 중	治疗中
친구목록	好友目录
친구추가	添加好友
카나리스	卡纳里斯
카른웨난	卡仑钺阑
카리비브	卡里比布
캄보디아	柬埔寨
커틀러스	弯刀
코펜하겐	哥本哈根
콜롬비아	哥伦比亚
쿠웨이트	科威特
키 강화	强化船舵
탑승인원	乘船人员
통장요정	储存王
트루히요	特鲁希略
트리폴리	特里波利
특가상품	特价商品
파격할인	大减价
파키스탄	巴基斯坦
판매도시	出售城市
팔코네트	鹰炮
페르난도	费尔南多
脸书	脸书
평화 상태	和平状态
포로보기	查看俘虏
포르투갈	葡萄牙
폴란드어	波兰语
푸시관리	管理通知
프랑스어	法语
플라스크	烧瓶
플래티넘	铂金
핀란드어	芬兰语
함대가속	船队加速
함대정보	船队信息
함대 지원	支援船队
함선 건조하기	建造舰船
함선판매	出售舰船
함선포기	放弃舰船
항해시간	航海时间
핸드거너	枪手
행정제도	行政制度
헝가리어	匈牙利语
협동수리	协同修理
화약없음	没有火药
환경설정	环境设置
회원가입	会员注册
획득가능	可获得
획득경로	获得途径
획득자원	获得资源
장비 획득	获得装备
후 만료	后失效
희귀 끌	稀有的凿刀
히브리어	希伯来语
신규상품	新品上架
▶그 외	▶其他
개인 정보	个人信息
300000원	￥1,763.52
6:00	5:00
계정연동	账号绑定
돌핀 함선 스킨	海豚船皮肤
주말 한정	周末限定
지금 바로	快来
동시 진행	同时进行
장비 제작	装备制作
누적 결제	累计充值
확정 지급	确保发放
획득 확률	获得几率
훈련 속도	训练速度
집결 참여	参加集结
{0} 전	{0}前
{0}일차	第{0}天
{0}회차	第{0}次
\ {0}	\{0}
1.25만	1.25万
47.5K	47.5千
Norsk	Norsk
T1	1阶
T2	2阶
T3	3阶
T4	4阶
T5	5阶
T6	6阶
UI 선택	选择界面
YOLO!	及时行乐!
فارسی	فارسی
가람 조각	伽蓝碎片
가속 5분	加速(5分钟)
가시 포탄	刺炮弹
가죽 조끼	皮质坎肩
가토 조각	加藤碎片
간이 병원	战地医院
감옥 개선	改善监狱
갑옷 안감	盔甲内衬
갑판 사관	甲板士官
강화 목록	强化列表
강화 성공	强化成功
강화 실패	强化失败
강화 취소	取消强化
거대 거북	巨型乌龟
거래 성사	交易成交
건물 공격	攻击建筑
건설 가능	可建设
건설 도구	建设工具
건설 완료	建设完毕
건설 조건	建设条件
건설 지원	建设支援
건설중 :	建设中:
건조 달인	建造达人
건조 취소	取消建造
검병 체력	剑兵体力
검증 실패	验证失败
게임 시작	开始游戏
견고한 벽	坚固的墙
견습 농부	实习农夫
견제 사격	牵制射击
경험의 서	经验之书
계정 변경	切换账号
계정연동하기	绑定账号
고급 견갑	高级肩甲
고급 과녁	高级箭靶
고급 교관	高级教官
고급 교본	高级教材
고급 대련	高级对练
고급 대패	高级刨子
고급 들것	高级担架
고급 묘목	高级树苗
고급 붕대	高级绷带
고급 성수	高级圣水
고급 숫돌	高级磨刀石
고급 의술	高级医术
고급 자철	高级磁铁
고급 장갑	高级装甲
고급 장인	高级匠人
고급 지휘	高级指挥
고급 창대	高级枪杆
고급 철침	高级铁砧
고급 톱니	高级锯齿
고급 행군	高级行军
고급 행운	高级幸运
고유 스킬	固有技能
공성 기술	攻城技术
공유 실패	共享失败
공지 내용	公告内容
공지 작성	发布公告
공지 제목	公告标题
광기의 활	狂气之弓
광맥 탐사	探查矿脉
괴수 사냥	狩猎怪兽
교관 교육	培训教官
교역 가능	可交易
교역 정보	交易信息
교역이란?	交易是什么?
구독 복구	恢复订阅
구매 확인	确定购买
구매 횟수	购买次数
구매완료!	购买完成!
국기 설정	设置国旗
국제 연합	联合国
군비 증강	增强战斗力
군장 행군	军长行军
굽은 칼!	弯的刀!
권한 설정	设置权限
규칙 설명	规则说明
글렌더 알	小盾龙蛋
금화 20	20金币
금화 가속	金币加速
금화 상점	金币商店
나의 영지	我的领地
나이지리아	尼日利亚
낡은 무기	陈旧的武器
남은 시간	剩余时间
내 기여도	我的贡献度
네덜란드어	荷兰语
노르웨이어	挪威语
농장 건설	建设农场
누적 통계	累计统计
늑대 깃발	战狼旗帜
능력 부여	赋予能力
능력 출처	能力来源
다른 기능	其它功能
다시 받기	重新接受
다음 Lv.	下一等级
다이아몬드	钻石
다트 게임	飞镖游戏
달성 보상	达成奖励
대련 지도	指导对练
대인 화력	对人火力
대포 보유하기	拥有大炮
함대 화력	舰队火力
대포 심지	大炮引线
함대 화력	对舰火力
데미컬버린	半长管炮
도감 효과	图鉴效果
도시 관리	城市管理
도시로 출항하기	出航至城市
도시 해도	城市航海图
도시점령전	城市占领战
도전의 문	挑战之门
동상상점	铜像商店
돛 꾸미기	装饰帆
랜덤 선택	随机选择
랭킹 보상	排名奖励
럭키 큐브	幸运魔方
로그인 제재	登录制裁
로얄 가드	皇家护卫
루마니아어	罗马尼亚语
리바이어던	利维坦
리뷰 하기	评价
리투아니아	立陶宛
마틴 조각	马丁碎片
말레이시아	马来西亚
매의 반지	鹰戒指
맹주 이양	移交盟主
머스킷티어	滑膛枪手
모두 닫기	全部关闭
전체 받기	全部领取
모두 열기	全部开启
모자를 제작해보세요.	制作头盔
모자 착용하기	装备头盔
모험 보상	冒险奖励
모험 성공	冒险成功
모험 실패	冒险失败
모험완료!	冒险成功！
모험이란?	冒险是什么?
무기 보유하기	拥有武器
무기를 제작해보세요.	制作武器
무기 착용하기	装备武器
무료 선물	免费礼物
무적 함대	无敌船队
물자 하역	物资装卸
물품 구입	购买物品
물품 사용	使用物品
민첩한 검	敏捷之剑
바르셀로나	巴塞罗那
바실리스크	蛇怪
반짝반짝~	闪闪发光~
받는 사람	收件人
발동 효과	发动效果
방글라데시	孟加拉国
방어 훈련	防御训练
버프 정보	加成信息
버프 합계	加成合计
베네수엘라	委内瑞拉
베라크루스	维拉克斯
병사 관리	士兵管理
병사 보유하기	拥有士兵
병사 정보	士兵信息
병사 체력	士兵体力
선원 편성	整编士兵
병영 이동	前往兵营
보급 계획	补给计划
보급 향상	增加补给
보물 보기	查看宝物
보물 사용	使用宝物
보상 목록	奖励目录
